"inst_id","type","name","department","address","city","state","zip"
"1","Fraternity","Triangle National Headquarters",NULL,"Allendale","Michigan",NULL
"2","University","Michigan State University","Residence Hall Services","642 Red Cedar Rd","East Lansing","Michigan","48825"
"3","School","Plumosa School of the Arts",NULL,"Delray Beach","Florida",NULL
